file,event_id,start_offset_s,end_offset_s,duration_s
capture_20251025_103257.mcap,1,742.152,745.716,3.564
capture_20251025_103257.mcap,2,765.718,788.571,22.853
capture_20251025_103257.mcap,3,1105.948,1136.666,30.718
capture_20251025_113707.mcap,1,41.674,48.116,6.442
capture_20251025_113707.mcap,2,49.653,67.669,18.016
capture_20251025_113707.mcap,3,304.927,330.350,25.423
capture_20251025_113707.mcap,4,437.192,465.618,28.426
capture_20251025_113707.mcap,5,700.867,729.436,28.569
capture_20251025_113707.mcap,6,1048.540,1072.961,24.421
capture_20251025_113707.mcap,7,1136.806,1155.095,18.289
capture_20251025_113707.mcap,8,2258.511,2276.087,17.576
capture_20251025_113707.mcap,9,2521.903,2530.610,8.707
capture_20251025_113707.mcap,10,2672.452,2678.312,5.860
capture_20251025_113707.mcap,11,2898.707,2921.707,23.000
capture_20251025_113707.mcap,12,2975.121,2990.544,15.423
capture_20251025_113707.mcap,13,3416.919,3441.345,24.426
capture_20251025_113707.mcap,14,3765.304,3777.442,12.138
